lap,VET,WEB,HAM,BUT,ALO,MAS,SCH,ROS,HEI,PET,BAR,MAL,SUT,RES,KOB,PER ,BUE,ALG,TRU ,KOV,KAR,LIU,GLO,AMB
1,95.269,97.199,98.852,98.351,97.58,100.887,99.759,96.559,100.734,100.33,101.611,103.213,102.105,102.477,105.55,120.462,104.233,106.09,103.531,104.673,106.69,105.976,,106.951
2,189.351,191.722,194.053,193.57,192.642,196.328,197.36,191.167,197.897,197.636,197.972,199.981,198.67,199.142,202.357,240.444,200.496,202.993,200.901,201.718,205.742,205.023,,206.215
3,283.119,286.194,289.17,288.703,287.309,290.726,316.475,285.579,294.16,293.084,293.741,296.937,295.113,295.408,298.238,335.098,296.432,299.34,297.421,298.761,304.974,303.37,,304.595
4,376.946,380.472,384.028,383.663,381.47,385.325,410.597,379.927,389.387,387.765,388.962,393.023,390.717,391.147,394.01,429.901,391.809,395.437,394.246,395.767,404.09,401.238,,402.113
5,470.708,475.168,478.582,478.106,475.783,479.864,505.102,475.355,484.738,482.642,484.353,488.925,486.154,486.604,489.381,524.475,487.555,491.447,491.592,492.221,501.969,498.978,,499.477
6,564.509,569.232,573.367,573.289,571.29,574.372,599.919,571.131,579.714,577.444,580.2,585.672,581.376,582.695,585.181,618.707,582.546,587.051,587.829,588.61,601.267,597.121,,597.33
7,658.33,663.741,668.542,668.704,665.844,669.49,694.991,666.43,674.28,673.209,675.903,682.282,677.176,678.909,680.635,713.368,678.47,682.873,683.822,684.688,699.438,695.313,,695.711
8,752.183,757.834,764.161,763.576,759.865,764.584,789.899,762.094,768.862,768.486,771.375,778.512,772.894,774.672,775.736,808.002,774.069,780.05,780.235,781.081,796.921,793.624,,793.853
9,846.384,852.146,860.512,858.859,854.035,859.587,884.482,857.134,863.745,878.844,867.178,874.948,868.933,870.521,871.122,902.606,869.935,876.448,876.712,877.524,894.811,891.775,,891.438
10,940.602,946.771,970.318,953.647,948.096,971.066,979.047,952.131,958.56,974.512,963.206,972.945,965.138,966.67,966.373,997.136,980.528,973.482,973.735,975.025,993.214,992.011,,989.005
11,1034.916,1055.984,1064.28,1048.573,1057.418,1064.564,1074.074,1063.711,1072.281,1071.975,1075.143,1071.866,1076.776,1062.964,1061.434,1092.218,1074.438,1070.724,1072.403,1072.899,1091.79,1089.981,,1086.571
12,1144.907,1148.691,1157.511,1143.993,1150.71,1158.247,1170.968,1157.108,1168.259,1167.35,1171.389,1185.959,1171.747,1172.682,1156.613,1188.098,1170.33,1168.164,1170.191,1172.239,1190.721,1188.872,,1184.342
13,1239.081,1241.822,1252.004,1240.232,1244.151,1252.491,1268.068,1251.257,1262.819,1261.252,1267.121,1281.821,1268.562,1268.872,1251.685,1283.25,1265.5,1267.527,1269.38,1270.886,1289.467,1287.514,,1282.874
14,1332,1334.999,1345.04,1351.107,1337.432,1346.012,1364.314,1345.486,1356.515,1354.995,1361.504,1375.906,1363.899,1364.151,1363.471,1379.31,1359.597,1381.319,1367.226,1383.544,1388.673,1386.389,,1382.02
15,1425.168,1428.055,1438.872,1445.307,1430.609,1440.184,1473.787,1439.705,1450.277,1448.885,1455.865,1470.131,1457.929,1458.906,1456.837,1475.162,1453.403,1475.252,1465.161,1478.518,1508.314,1485.578,,1480.549
16,1518.005,1521.115,1532.653,1539.503,1523.835,1534.357,1567.591,1533.99,1544.01,1542.509,1551.031,1564.318,1552.034,1553.185,1550.335,1572.487,1547.309,1569.084,1578.636,1573.332,1605.692,1660.554,,1579.968
17,1611.121,1614.183,1626.515,1633.516,1616.858,1628.507,1661.114,1628.183,1637.839,1636.584,1645.575,1658.499,1646.195,1647.532,1643.507,1683.155,1641.216,1662.631,1674.166,1668.233,1702.745,1811.642,,1694.561
18,1704.005,1707.23,1720.588,1727.244,1709.78,1723.027,1754.532,1722.72,1732.014,1730.828,1740.316,1752.658,1740.604,1741.791,1736.426,1775.416,1734.699,1755.788,1769.204,1762.913,1805.208,1909.325,,1790.405
19,1797.063,1800.743,1815.453,1821.219,1803.314,1818.003,1847.996,1817.69,1825.98,1825.106,1834.11,1846.722,1834.867,1836.314,1829.485,1867.631,1828.419,1849.246,1864.465,1857.892,1902.531,2006.57,,1886.465
20,1889.812,1894.566,1911.324,1915.476,1896.829,1914.512,1941.735,1914.238,1920,1935.385,1928.245,1941.422,1928.87,1930.924,1922.895,1960.078,1922.561,1942.611,1959.64,1952.804,1999.417,2105.735,,1983.305
21,1982.712,1989.345,2020.344,2010.637,1990.309,2009.776,2035.747,2010.882,2013.797,2028.461,2022.476,2036.875,2023.217,2025.433,2017.218,2052.641,2016.824,2036.931,2055.729,2047.606,2096.233,2203.742,,2079.533
22,2075.283,2097.729,2113.925,2104.538,2083.838,2104.214,2128.983,2107.278,2108.224,2121.713,2116.922,2133.311,2117.568,2120.753,2111.942,2145.601,2112.862,2130.749,2150.6,2142.395,2193.907,2301.739,,2175.753
23,2167.756,2191.265,2207.852,2199.208,2177.48,2200.633,2222.249,2217.302,2217.824,2215.905,2211.813,2229.41,2212.528,2216.563,2218.304,2238.354,2209.511,2224.373,2245.693,2237.563,2291.339,2399.128,,2271.835
24,2260.511,2284.253,2300.7,2292.925,2286.291,2309.616,2315.286,2311.222,2311.947,2309.071,2306.224,2326.037,2307.884,2313.1,2329.562,2331.967,2320.158,2317.663,2340.875,2333.828,2389.106,2496.925,,2367.937
25,2353.795,2376.957,2393.409,2386.829,2378.341,2402.963,2408.401,2404.328,2404.916,2402.662,2417.807,2424.19,2403.542,2423.061,2423.649,2425.19,2412.55,2411.348,2435.881,2430.04,2485.763,2596.65,,2464.885
26,2461.172,2469.323,2486.238,2480.233,2470.34,2496.086,2501.725,2497.695,2498.105,2495.417,2511.505,2535.148,2513.511,2516.973,2516.516,2518.903,2505.092,2506.34,2531.154,2542.472,2584.385,2695.252,,2563.059
27,2552.872,2561.411,2579,2590.84,2562.069,2588.968,2595.082,2591.856,2592.182,2588.707,2605.213,2628.824,2606.823,2611.261,2608.954,2613.603,2597.746,2600.318,2626.585,2636.8,2681.702,2792.909,,2659.822
28,2644.725,2653.473,2671.572,2683.768,2653.967,2682.61,2688.432,2684.901,2685.537,2682.22,2698.541,2722.537,2699.9,2704.958,2701.635,2707.131,2690.546,2694.618,2721.751,2730.998,2800.335,2891.432,,2756.462
29,2736.919,2746.553,2764.243,2776.286,2745.931,2776.127,2782.019,2778.003,2778.67,2775.661,2791.653,2817.034,2793.396,2798.8,2794.29,2800.775,2783.076,2789.266,2817.881,2825.122,2897.468,2990.095,,2853.359
30,2828.996,2838.876,2856.764,2870.173,2838.001,2869.633,2876.229,2871.448,2872.412,2869.043,2884.731,2910.653,2886.784,2892.368,2887.332,2895.146,2875.589,2898.996,2913.529,2919.266,2994.607,3088.294,,2950.654
31,2921.08,2931.575,2948.829,2963.474,2929.935,2962.997,2983.935,2965.105,2965.841,2962.495,2977.416,3004.683,2980.032,2986.562,2980.597,2989.594,2968.212,2991.516,3010.172,3015.188,3090.503,3186.821,,3047.98
32,3013.328,3024.254,3041.057,3056.945,3022.168,3056.666,3076.248,3058.721,3059.681,3056.229,3070.522,3098.062,3073.114,3080.501,3073.712,3085.206,3060.98,3083.581,3120.981,3109.58,3185.936,3285.918,,3145.374
33,3105.459,3116.763,3133.402,3151.223,3114.398,3150.856,3168.994,3152.202,3153.255,3149.883,3164.076,3191.527,3168.803,3189.173,3168.621,3194.505,3153.921,3175.342,3214.78,3204.045,3285.542,3384.756,,3242.91
34,3197.374,3209.797,3226.299,3244.478,3206.876,3245.154,3263.43,3260.432,3247.226,3243.995,3257.189,3284.731,3263.508,3281.986,3264.266,3286.141,3247.476,3267.492,3308.667,3298.357,3382.517,3482.237,,3361.278
35,3289,3303.117,3349.516,3336.769,3299.37,3359.004,3356.833,3352.143,3340.484,3354.121,3351.168,3378.372,3357.738,3374.74,3359.637,3378.402,3341.052,3360.428,3402.516,3394.058,3478.847,3580.074,,3456.888
36,3381.456,3410.21,3441.102,3429.292,3392.095,3450.901,3449.313,3444.02,3433.473,3446.982,3444.893,3472.514,3451.749,3467.26,3453.095,3471.397,3434.298,3453.459,3496.193,3488.413,3575.039,3696.724,,3552.522
37,3473.661,3501.215,3532.848,3522.26,3499.451,3542.948,3542.29,3535.639,3541.564,3539.582,3539.041,3566.975,3545.788,3559.964,3546.661,3562.983,3527.468,3546.929,3589.588,3582.999,3671.409,3844.924,,3647.944
38,3565.369,3592.291,3624.077,3615.124,3590.404,3635.472,3635.267,3626.998,3633.736,3632.356,3633.226,3661.238,3639.456,3652.558,3640.617,3654.582,3620.881,3640.673,3685.156,3677.454,3767.406,3981.1,,3743.34
39,3656.964,3683.851,3715.457,3707.853,3681.452,3728.369,3728.856,3718.334,3726.977,3724.573,3728.255,3755.783,3733.269,3745.254,3749.399,3746.323,3715.074,3734.044,3778.974,3772.89,3867.404,4077.462,,3839.161
40,3748.605,3775.105,3807.307,3816.116,3771.886,3820.868,3824.458,3810.557,3819.71,3817.724,3824.109,3851.053,3827.927,3837.773,3840.684,3838.582,3810.892,3843.112,3873.064,3884.457,3964.521,4174.171,,3937.671
41,3856.093,3866.248,3898.547,3908.448,3863.205,3913.248,3917.242,3902.145,3912,3910.228,3934.585,3946.726,3936.615,3930.534,3932.262,3931.183,3920.89,3934.029,3967.468,3978.711,4062.864,4268.87,,4032.886
42,3947.176,3957.388,3989.75,4000.902,3954.277,4005.558,4009.611,3993.927,4004.219,4002.755,4027.98,4056.266,4029.31,4023.553,4024.303,4024.137,4012.402,4025.498,4061.953,4072.407,4159.054,4364.391,,4128.077
43,4038.243,4048.764,4080.533,4092.617,4045.459,4097.88,4103.056,4085.727,4096.463,4095.271,4120.896,4148.68,4121.38,4117.134,4116.343,4132.491,4103.962,4117.892,4155.744,4165.592,4255.181,4459.701,,4224.677
44,4129.279,4140.01,4171.439,4184.141,4136.895,4190.397,4196.184,4177.467,4188.415,4187.712,4213.768,4240.724,4214.071,4211.06,4207.467,4223.333,4195.322,4210.252,4249.398,4258.611,4351.026,4557.067,,4320.253
45,4220.6,4231.408,4262.349,4275.944,4228.138,4282.85,4289.294,4283.68,4280.785,4280.17,4306.066,4332.864,4306.634,,4298.505,4314.265,4287.501,4301.807,4343.399,4351.891,4449.189,4652.486,,4415.707
46,4311.786,4338.208,4353.402,4367.305,4319.304,4375.448,4396.713,4374.6,4372.952,4387.678,4398.145,4433.794,4398.938,,4389.88,4405.062,4379.87,4393.127,4437.488,4445.678,4564.191,4747.829,,4511.224
47,4402.59,4428.153,4460.733,4458.472,4425.833,4488.773,4487.866,4465.173,4480.736,4478.714,4490.409,4526.772,4491.172,,4481.904,4495.899,4472.159,4484.533,4532.263,4539.161,4659.372,4845.769,,4608.512
48,4509.858,4517.856,4550.841,4550.029,4516.112,4579.906,4579.311,4556.062,4571.172,4569.332,4582.758,4619.219,4583.505,,4573.205,4587.084,4564.543,4576.344,4627.094,4632.516,4756.865,4942.017,,4703.87
49,4600.545,4607.622,4640.98,4641.809,4606.511,4671.159,4670.649,4646.887,4661.533,4660.139,4675.12,4711.441,4675.624,,4664.686,4678.48,4656.764,4668.515,4722.659,4725.378,4852.514,5037.347,,4799.605
50,4690.482,4697.698,4731.397,4733.628,4696.807,4762.367,4762.1,4737.574,4752.677,4752.436,4767.825,4803.562,4768.005,,4756.249,4769.828,4748.236,4760.946,4820.192,4818.568,4949.734,5133.504,,4894.99
51,4780.872,4788.361,4822.398,4825.327,4788.461,4854.288,4853.908,4828.445,4843.521,4844.491,4861.389,4895.962,4860.452,,4847.839,4861.525,4840.061,4853.6,4919.318,4912.848,5043.682,5230.056,,4991.631
52,4871.305,4879.542,4913.175,4917.409,4880.326,4948.273,4947.916,4919.208,4933.679,4935.881,4955.927,4988.996,4952.835,,4939.689,4953.361,4931.838,4946.77,5018.726,5007.998,5139.124,5328.92,,5086.955
53,4961.891,4969.9,5003.839,5009.174,4970.993,5040.677,5040.44,5010.016,5024.084,5027.025,5049.822,5081.409,5045.508,,5031.38,5045.876,5023.797,5040.914,5118.817,5103.971,5236.773,5424.932,,5181.934
54,5052.512,5060.31,5094.625,5102.026,5061.8,5132.197,5134.606,5101.295,5115.336,5118.323,5144.358,5174.011,5138.384,,5123.895,5138.869,5116.678,5137.145,5235.216,5198.691,5331.52,,,5277.017
55,5143.102,5151.031,5185.2,5195.312,5152.817,5223.577,5226.505,5191.9,5206.285,5209.584,5239.036,5266.463,5231.949,,5216.377,5232.588,5208.977,5234.098,5327.911,5292.863,5426.738,,,5371.988
56,5234.486,5242.349,5275.638,5288.618,5244.121,5314.755,5318.032,5282.573,5297.157,5302.99,5335.075,5358.997,5326.138,,5308.814,5325.747,5301.099,5341.716,5421.373,5387.156,,,,5467.701
57,5325.939,5334.013,5366.498,5382.268,5335.736,5405.873,5409.968,5373.49,5387.758,5394.049,5431.456,5452.155,5420.932,,5402.308,5420.963,5393.536,5431.61,,5483.869
58,5417.558,5426.365,5457.79,5476.989,5427.633,5497.381,5503.002,5465.097,5478.415,5485.726,,,,,5495.579,,5486.952
